obs_no,Date_Time,Temp_C,RH_pc,Pressure_mbar,Rain_mm,PAR_µmol,DewPt_C
200,5/1/2021 20:30,9.632,82.9,1019.85,0,13.7,6.9
201,5/1/2021 21:00,9.188,83.4,1019.95,0,1.2,6.5
202,5/1/2021 21:30,9.064,83.7,1020.15,0,1.2,6.5
203,5/1/2021 22:00,8.916,82.6,1020.55,0,1.2,6.1
204,5/1/2021 22:30,8.792,81.6,1020.55,0,1.2,5.8
205,5/1/2021 23:00,8.668,79.7,1020.65,0,1.2,5.4
206,5/1/2021 23:30,8.618,78.5,1020.95,0,1.2,5.1
207,5/2/2021 0:00,8.643,81.1,1020.95,0,1.2,5.6
208,5/2/2021 0:30,8.469,81,1020.95,0,1.2,5.4
209,5/2/2021 1:00,8.593,81.6,1020.95,0,1.2,5.6
210,5/2/2021 1:30,8.593,81.9,1021.25,0,1.2,5.7
211,5/2/2021 2:00,8.618,82.5,1021.05,0,1.2,5.8
212,5/2/2021 2:30,8.717,81.5,1021.05,0,1.2,5.7
213,5/2/2021 3:00,8.668,82.2,1021.05,0,1.2,5.8
214,5/2/2021 3:30,8.792,84.4,1021.05,0,1.2,6.3
215,5/2/2021 4:00,8.668,85.3,1020.85,0,1.2,6.3
216,5/2/2021 4:30,8.17,80.7,1020.85,0,1.2,5.1
217,5/2/2021 5:00,8.07,83,1021.05,0,1.2,5.4
218,5/2/2021 5:30,8.22,85.1,1021.15,0,1.2,5.9
219,5/2/2021 6:00,8.17,86.1,1021.15,0,6.2,6
220,5/2/2021 6:30,8.07,87.2,1021.25,0,48.7,6.1
221,5/2/2021 7:00,8.369,87.4,1021.75,0,171.2,6.4
222,5/2/2021 7:30,9.04,86,1021.65,0,231.2,6.8
223,5/2/2021 8:00,9.312,86.4,1021.85,0,526.2,7.2
224,5/2/2021 8:30,9.854,85.8,1021.85,0,606.2,7.6
225,5/2/2021 9:00,10.394,84,1021.95,0,1021.2,7.8
226,5/2/2021 9:30,10.736,82.6,1022.05,0,1143.7,7.9
227,5/2/2021 10:00,10.883,77.7,1021.85,0,1326.2,7.2
228,5/2/2021 10:30,10.834,75.9,1021.75,0,871.2,6.8
229,5/2/2021 11:00,10.98,73.2,1021.75,0,1498.7,6.4
230,5/2/2021 11:30,11.394,70.8,1021.95,0,1341.2,6.3
231,5/2/2021 12:00,11.248,70.9,1021.95,0,1351.2,6.2
232,5/2/2021 12:30,11.807,73.8,1022.15,0,1731.2,7.3
233,5/2/2021 13:00,12.413,71,1022.35,0,1701.2,7.3
234,5/2/2021 13:30,12.219,72.6,1022.15,0,1703.7,7.5
235,5/2/2021 14:00,13.016,72.5,1022.25,0,1678.7,8.2
236,5/2/2021 14:30,13.016,69.8,1022.35,0,1613.7,7.6
237,5/2/2021 15:00,13.233,68,1022.05,0,1518.7,7.5
238,5/2/2021 15:30,13.618,68.2,1021.95,0,1493.7,7.9
239,5/2/2021 16:00,14.29,65.3,1021.85,0,1383.7,7.9
240,5/2/2021 16:30,14.457,66.9,1021.65,0,1251.2,8.4
241,5/2/2021 17:00,13.906,67.2,1021.45,0,1101.2,7.9
242,5/2/2021 17:30,13.882,65.8,1021.25,0,948.7,7.6
243,5/2/2021 18:00,16.106,61.5,1021.25,0,813.7,8.7
244,5/2/2021 18:30,13.978,64.5,1021.25,0,563.7,7.4
245,5/2/2021 19:00,12.171,68.8,1021.25,0,438.7,6.6
246,5/2/2021 19:30,12.775,70,1021.15,0,201.2,7.5
247,5/2/2021 20:00,12.025,71.3,1021.35,0,91.2,7
248,5/2/2021 20:30,10.271,74.7,1021.05,0,11.2,6
249,5/2/2021 21:00,9.903,75.8,1021.15,0,1.2,5.8
250,5/2/2021 21:30,9.336,76.2,1021.15,0,1.2,5.4
251,5/2/2021 22:00,8.469,79.1,1021.05,0,1.2,5.1
252,5/2/2021 22:30,8.519,80.2,1021.15,0,1.2,5.3
253,5/2/2021 23:00,8.319,81.8,1021.05,0,1.2,5.4
254,5/2/2021 23:30,8.245,81,1021.05,0,1.2,5.2
255,5/3/2021 0:00,8.767,81,1020.75,0,1.2,5.7
256,5/3/2021 0:30,8.817,81.4,1020.55,0,1.2,5.8
257,5/3/2021 1:00,8.817,81.6,1020.55,0,1.2,5.9
258,5/3/2021 1:30,8.742,82.3,1020.35,0,1.2,5.9
259,5/3/2021 2:00,8.866,83.3,1020.15,0,1.2,6.2
260,5/3/2021 2:30,8.792,84.5,1020.05,0,1.2,6.3
261,5/3/2021 3:00,8.717,85.7,1019.95,0,1.2,6.5
262,5/3/2021 3:30,8.643,85.5,1019.85,0,1.2,6.4
263,5/3/2021 4:00,8.419,85.9,1019.75,0,1.2,6.2
